label_id,label_text
0,We runs carefully
1,The writer teaches a plan
2,Why is it today
3,The fox sleeps under the bush
4,A bird sits on the mat
5,The player helps the students
6,I runs quickly
7,The player teaches a plan
8,The writer helps the people
9,She should go now
10,The rabbit sleeps by the tree
11,The fox hides in the park
12,She counted four chairs
13,They found one birds
14,A mouse rests by the tree
15,They walks quickly
16,The worker teaches a plan
17,The wolf rests under the bush
18,A deer sleeps under the bush
19,The woman walks quickly
20,The painter teaches the students
21,The owl rests on the mat
22,Take the window
23,She moves quickly
24,A bear hides in the park
25,The wind blows through the trees
26,A bird hides in the park
27,The owl sits by the tree
28,The farmer teaches a plan
29,The rabbit sleeps under the bush
30,I start at six
31,The wolf sits on the mat
32,The builder makes the people
33,What did you go now
34,I see two birds
35,My friend moves carefully
36,The rabbit rests by the tree
37,Show your book
38,Our book is very old
39,The child's car is very old
40,The horse rests under the bush
41,A bird sleeps by the tree
42,Tell me more
43,Clouds shines on the ground
44,The singer teaches a plan
45,The dog sleeps in the park
46,The storm blows on the ground
47,The wolf sits by the tree
48,The builder makes a plan
49,You can go now
50,A bear rests in the park
51,She counted four birds
52,Open your book
53,We have two birds
54,The girl runs slowly
55,The owl sleeps under the bush
56,They found four books
57,She counted two birds
58,The singer makes the students
59,I moves carefully
60,The baker makes a plan
61,We moves slowly
62,The writer makes the people
63,Lightning shines on the ground
64,Our house is on the table
65,Take the door
66,A squirrel hides in the park
67,He can do this
68,His car is very old
69,The wind falls through the trees
70,They found three books
71,My car is very old
72,Why did you go today
73,The fox sits on the mat
74,He can go now
75,A squirrel sleeps by the tree
76,My friends start at noon
77,The teacher helps a plan
78,They found three birds
79,They could go now
80,She should do this
81,Thunder shines on the ground
82,Good night
83,The man walks slowly
84,Keep the window
85,We have five birds
86,The woman moves slowly
87,The dancer makes the people
88,The wolf sleeps by the tree
89,The farmer makes a plan
90,A mouse rests under the bush
91,A squirrel rests by the tree
92,I see four books
93,The moon falls through the trees
94,The wind falls in the sky
95,The doctor makes the people
96,The family arrive at six
97,We should do this
98,Who is it now
99,The wolf sleeps on the mat
100,The family arrive at noon
101,The man walks quickly
102,A bird sits under the bush
103,They start at noon
104,Your book is very old
105,A bear sits on the mat
106,There are three chairs
107,The baker makes the students
108,Thunder shines through the trees
109,The student walks slowly
110,The fox rests by the tree
111,I think so too
112,Thunder falls on the ground
113,I should do this
114,Who did you go today
115,She runs quickly
116,The player makes a plan
117,This is worse than before
118,You did great
119,He runs slowly
120,A bear hides by the tree
121,When is it now
122,The wolf sleeps under the bush
123,I can go now
124,That is better than before
125,We have one chairs
126,The boy walks carefully
127,I start at noon
128,We have four books
129,The rain blows on the ground
130,A bird rests by the tree
131,The horse sits under the bush
132,The teacher helps the people
133,They runs carefully
134,The girl runs quickly
135,The builder helps the people
136,Make your book
137,Tell the door
138,The student runs quickly
139,They arrive at seven
140,The driver makes the students
141,She can go now
142,Who is it today
143,Mist shines on the ground
144,We could do this
145,I leave at noon
146,Take your book
147,They walks carefully
148,I arrive at noon
149,The cat hides in the park
150,Where is it now
151,He walks slowly
152,The wolf sits under the bush
153,We have five chairs
154,I start at seven
155,Your house is on the table
156,The girl moves carefully
